iteration,ess,acceptance_rate,objective,time_per_eval,L,step_size
0,2.8954679726288637,1.0,2.8954679726288637,0.6076247692108154,93.05544668101209,0.010267613563805894
1,2.8403566585350593,1.0,2.8403566585350593,0.3969607353210449,0.22066923942795236,0.004765804046561259
2,4.774427041474068,1.0,4.774427041474068,0.40057992935180664,6.97817406129361,0.47658040465612567
3,2.876238555410267,1.0,2.876238555410267,0.3949241638183594,1.2409143252866115,0.04765804046561258
4,2.901910615514974,1.0,2.901910615514974,0.398967981338501,39.241156490367686,0.0028570244660197507
5,4.879827210161315,1.0,4.879827210161315,0.47070789337158203,0.33981441528047696,0.2857024466019752
6,2.8920841187811654,1.0,2.8920841187811654,0.3977499008178711,10.745875340446325,0.02857024466019749
7,2.893469172826551,1.0,2.893469172826551,0.3940122127532959,1.9109168860760701,0.0013261132858835786
8,3.106193859249371,1.0,3.106193859249371,0.39202094078063965,60.42849779276877,0.13261132858835792
9,2.991441664317617,1.0,2.991441664317617,0.39780688285827637,0.14329855073840533,0.013261132858835779
